year,month,47N,46N,45N,44N,43N,42N,41N,40N,39N,38N,37N,36N,35N,34N,33N,32N,31N
1993,6,0.076,0.205,0.369,0.274,0.837,0.965,0.924,1.689,1.928,1.099,0.809,0.922,1.177,0.671,0.356,0.211,0.21
1993,7,0.193,0.238,0.448,0.372,0.844,1.025,1.12,1.433,1.483,0.629,0.436,0.461,0.522,0.32,0.147,0.09,0.169
1993,8,0.193,0.316,0.539,0.484,0.807,0.873,0.944,1.156,1.049,0.608,0.485,0.496,0.575,0.371,0.284,0.224,0.243
1993,9,0.222,0.342,0.371,0.42,0.559,0.485,0.601,0.879,1.13,0.674,0.619,0.516,0.622,0.398,0.305,0.318,0.141
1993,10,-0.055,0.103,0.169,0.108,0.377,0.358,0.218,0.354,0.355,0.101,0.141,0.259,0.276,0.238,0.165,0.207,0.136
1993,11,0.002,0.24,0.27,0.305,0.695,0.786,0.771,0.64,0.691,0.436,0.323,0.352,0.397,0.33,0.204,0.18,0.067
1993,12,-0.567,-0.232,-0.602,-0.479,-0.252,-0.683,-0.611,-0.096,0.029,-0.097,-0.031,0.059,0.078,0.137,0.359,-0.032,0.174
1994,1,-0.267,-0.019,-0.237,-0.203,-0.102,-0.25,-0.151,0.356,0.259,-0.006,0.023,0.274,0.225,0.249,0.291,0.019,0.048
1994,2,-0.498,-0.103,-0.367,-0.184,-0.319,-0.04,-0.038,0.339,0.153,-0.034,0.063,0.028,0.181,0.127,0.199,0.174,-0.099
1994,3,-0.234,-0.079,0.072,-0.055,0.199,0.419,0.291,0.662,0.494,0.273,0.36,0.418,0.58,0.379,0.35,0.27,0.058
1994,4,-0.146,0.017,0.135,0.006,0.496,0.953,0.861,1.101,1.277,0.869,1.009,0.903,1.127,0.723,0.558,0.288,0.23
1994,5,0.134,0.231,0.436,0.243,0.73,0.835,0.637,1.135,1.066,0.659,0.614,0.769,0.85,0.576,0.348,0.171,0.299
1994,6,0.058,0.162,0.387,0.246,0.704,0.939,0.831,1.63,1.439,0.899,1.151,1.16,1.404,0.715,0.277,0.202,0.046
1994,7,0.309,0.345,0.675,0.615,1.079,1.234,1.234,1.443,0.948,0.366,0.366,0.341,0.421,0.274,0.236,0.298,0.176
1994,8,0.079,0.188,0.308,0.226,0.433,0.564,0.518,1.134,0.995,0.681,0.761,0.761,0.986,0.468,0.25,0.188,0.11
1994,9,0.097,0.238,0.334,0.334,0.635,0.655,0.505,0.613,0.64,0.353,0.337,0.394,0.537,0.293,0.38,0.363,0.464
1994,10,0.026,0.086,0.114,0.094,0.501,0.551,0.47,0.754,1.159,0.684,0.648,0.758,0.795,0.426,0.302,0.322,0.254
1994,11,-0.247,-0.056,-0.163,-0.208,0.188,0.157,0.074,0.215,0.458,0.238,0.253,0.291,0.573,0.484,0.494,0.367,0.183
1994,12,-0.577,-0.268,-0.731,-0.559,-0.541,-0.923,-0.58,-0.233,0.068,-0.225,0.128,0.154,0.035,0.171,0.41,-0.022,-0.065
1995,1,-0.578,-0.194,-0.737,-0.56,-0.513,-1.509,-1.137,-1.469,-1.197,-0.918,-0.54,-0.777,-0.609,-0.001,0.233,-0.153,-0.173
1995,2,-0.176,0.132,-0.169,-0.155,0.15,0.454,0.086,-0.009,0.3,-0.021,0.283,0.115,0.174,0.275,0.194,0.046,-0.369
1995,3,-0.764,-0.228,-0.549,-0.182,-0.119,-0.787,-0.49,-0.354,0.153,-0.09,0.035,0.081,0.069,0.306,0.428,0.274,0.027
1995,4,-0.123,0.139,0.276,-0.054,0.209,0.46,0.282,1.104,1.254,0.748,0.899,1.089,1.164,0.685,0.654,0.337,0.15
1995,5,0.103,0.208,0.518,0.345,0.894,1.324,1.022,1.298,1.507,0.804,0.46,0.733,0.791,0.428,0.321,0.053,0.069
1995,6,0.036,0.198,0.346,0.297,0.516,0.856,0.691,1.077,1.274,0.705,0.626,1.2,1.086,0.71,0.257,0.199,0.373
1995,7,0.18,0.295,0.463,0.426,0.65,0.871,0.694,0.862,0.816,0.438,0.648,1.094,0.822,0.452,0.258,0.254,0.277
1995,8,0.13,0.258,0.36,0.272,0.628,0.724,0.719,1.185,1.347,0.657,0.681,0.76,0.727,0.467,0.255,0.249,0.205
