#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2012,1,5,18,50,315,2.1,2.8,1.23,13.79,7.56,276,1020.1,15.6,15.2,13.5,99,99
2012,1,5,19,50,322,1.9,2.4,1.26,12.9,7.89,291,1018.9,15.6,15.4,14.1,99,99
2012,1,5,20,50,319,3.6,4.2,1.33,12.9,8.16,288,1018,15.6,15.4,14.1,99,99
2012,1,5,21,50,332,1.9,2.6,1.38,12.9,8.21,280,1017,15.9,15.5,14.3,99,99
2012,1,5,22,50,305,3.3,4,1.35,12.12,8.28,282,1016.7,15.7,15.5,14.5,99,99
2012,1,5,23,50,290,1.9,2.7,1.46,13.79,8.53,292,1016.2,15.9,15.4,14.2,99,99
2012,1,6,0,50,307,2.8,3.5,1.31,11.43,8.05,280,1016.1,15.6,15.4,14.5,99,99
2012,1,6,1,50,325,2.1,2.8,1.5,12.9,8.72,284,1015.9,15.4,15.3,14.3,99,99
2012,1,6,2,50,5,1.6,2,1.45,12.12,9.13,284,1015.5,15.6,15.3,13.5,99,99
2012,1,6,3,50,351,2.3,3,1.51,13.79,9.8,299,1015.7,15.9,15.2,13.4,99,99
2012,1,6,4,50,203,1.5,2.2,1.6,12.9,9.9,269,1015.6,15.9,15.1,12.8,99,99
2012,1,6,5,50,255,0.4,1.1,1.58,14.81,9.91,281,1015.6,16.1,15.1,12.7,99,99
2012,1,6,6,50,330,3.5,4.8,1.91,17.39,10.63,287,1015.3,16.2,15.1,13.3,99,99
2012,1,6,7,50,338,2.8,3.5,1.72,14.81,9.9,282,1014.9,15.8,15.1,13.5,99,99
2012,1,6,8,50,2,3.1,4.1,1.89,17.39,10.52,288,1014.8,15.4,15.1,13.7,99,99
2012,1,6,9,50,353,2.4,3.7,1.78,17.39,9.85,293,1014.9,15.4,15,13.6,99,99
2012,1,6,10,50,357,2.7,3.2,2.08,14.81,10.03,290,1014.7,15.3,15,13.6,99,99
2012,1,6,11,50,338,2.7,3.7,1.99,17.39,9.6,300,1014.3,15.3,14.9,13.4,99,99
2012,1,6,12,50,314,1.9,2.6,2.26,16,10.19,294,1014.4,15.2,15,13.3,99,99
2012,1,6,13,50,334,5.6,6.5,2.14,17.39,9,284,1014.4,16.2,15,12.1,99,99
2012,1,6,14,50,281,1.8,3.1,2.4,16,9.4,300,1014.8,15.3,14.9,13.4,99,99
2012,1,6,15,50,335,1.9,3,2.48,17.39,8.96,284,1015.3,15.5,14.9,12.4,99,99
2012,1,6,16,50,355,4.7,5.6,2.33,14.81,8.5,281,1016.1,15.4,15,12.2,99,99
2012,1,6,17,50,349,4.9,5.8,2.41,16,8.86,283,1016.6,15,15,12.7,99,99
2012,1,6,18,50,356,6.8,7.8,2.18,17.39,8.37,301,1016.2,15,15.1,12.7,99,99
2012,1,6,19,50,320,2.7,3.6,2.12,13.79,8.36,280,1015.7,15.2,15.2,13.1,99,99
2012,1,6,20,50,343,0.4,1,2.18,13.79,8.63,273,1014.9,15.5,15.3,12.4,99,99
