"Year","Observer","Plot","LayingSequence","Length","Width","Size"
2011,"SAA","DO","Egg1",53,37,1961
2011,"SAA","DO","Egg1",51,35,1785
2011,"SAA","DO","Egg1",53,35.5,1881.5
2011,"SAA","DO","Egg1",52.3,35.5,1856.65
2011,"SAA","BH","Egg1",57.3,36.7,2102.91
2011,"MEJ","LC","Egg1",54,30,1620
2011,"AAY","CC","Egg1",55.4,36.8,2038.72
2011,"AAY","CC","Egg1",54.8,35.8,1961.84
2011,"SAA","DO","Egg1",57.8,33.1,1913.18
2011,"SAA","DO","Egg1",56,31.5,1764
2011,"SAA","DO","Egg1",53.8,35.9,1931.42
2012,"REW","LC","Egg1",54.3,35.8,1943.94
2012,"AAY","CC","Egg1",57,34,1938
2012,"SAA","DO","Egg1",55.3,35.8,1979.74
2012,"SAA","DO","Egg1",50.6,36.2,1831.72
2012,"SAA","DO","Egg1",55.8,35.65,1989.27
2012,"SAA","DO","Egg1",53,36.3,1923.9
2012,"SAA","CC","Egg1",52.4,37,1938.8
2012,"SAA","CC","Egg1",53.2,36.1,1920.52
2012,"SAA","CC","Egg1",52,34.5,1794
2012,"REW","APNC","Egg1",50.15,36.25,1817.9375
2012,"REW","DO","Egg1",55.15,34.95,1927.4925
2012,"SAA","LC","Egg1",57,36,2052
2012,"SAA","LC","Egg1",54.25,36.4,1974.7
2012,"SAA","LC","Egg1",54,35.2,1900.8
2012,"SAA","CC","Egg1",52.2,36,1879.2
2012,"SAA","CC","Egg1",53.35,32.3,1723.205
2012,"AAY","DO","Egg1",52.3,35.3,1846.19
2012,"AAY","DO","Egg1",57.8,36,2080.8
2012,"AAY","DO","Egg1",53.1,35.2,1869.12
2012,"AAY","LC","Egg1",55.8,35.3,1969.74
2012,"AAY","LC","Egg1",55.2,36,1987.2
2012,"AAY","LC","Egg1",51.5,34.5,1776.75
2012,"AAY","LC","Egg1",52.9,34.7,1835.63
2012,"AAY","LC","Egg1",52,35.7,1856.4
2012,"AAY","LC","Egg1",51.6,31.3,1615.08
2012,"AAY","LC","Egg1",52.2,36.4,1900.08
2012,"AAY","LC","Egg1",54.9,36.8,2020.32
2012,"SLA","BH","Egg1",55.9,35.6,1990.04
2012,"AAY","CC","Egg1",53.2,36,1915.2
2012,"AAY","CC","Egg1",55,36.9,2029.5
2012,"AAY","CC","Egg1",52.7,33.7,1775.99
2012,"AAY","CC","Egg1",55.8,34.4,1919.52
2012,"AAY","CC","Egg1",51.3,34,1744.2
